FECHA,LOTE,DENOMINACIÓN/     MARCA,CANTIDAD,%H,MALLAS,VERIFICACIÓN FISICA CAFÉ TOSTADO,NOTAS DE CATACIÓN,PUNTAJE,LIBERACIÓN DE LOTE,RESPONSABLE,VARIEDAD_ESTANDAR,PROCESO,ORIGEN,TIEMPO_TUESTE_MEDIAN,BENEFICIO
13-2-24 ,19-130224 ,Gesha Blue - Monteverde,35.0,10.4,14,C,"Fresa, lavanda, menta, chocolate al 70% , acidez jugosa, cuerpo cremoso y final dulce",89,Si,LFQ,Otros,,NAN,492.0,
13-2-24 ,20-130224 ,Bourbon Sidra - Las Flores,35.0,10.5,14,C,"Maracuya, te de cedron, acidez jugosa, cuerpo aterciopelado y final floral dulce ",89,Si,LFQ,Bourbon Rojo,Honey ,QUIMBAYA,489.0,Honey 
13-2-24 ,21-130224 ,Don Victor - Red Bourbon,35.0,10.6,14,C,"Jalea, arandanos, cuerpo cremoso, acidez brillante y residual frutal a naranja ",88,Si,LFQ,Bourbon Rojo,Honey ,QUIMBAYA,489.0,Honey 
20-2-24 ,07-200224 ,Don Felix,29.0,10.5,14,C,"Moras maduras, chocolate negro, acidez media citrica como naranja, cuerpo cremoso, balanaceado y final limpio.",84.5,Si ,LFQ,Dos mil,Tradicional,JERICO,495.0,Lavado 
29-2-24 ,01-290224 ,Madre Laura,175.0,10.6,14,C,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84,Si,LFQ,Otros,,NAN,492.0,
29-2-24 ,02-290224 ,Madre Laura Natural,70.0,10.8,14,C,"Cacao, frutos rojos, cuerpo cremoso, acidez brillante, final frutal",85,Si,LFQ,Dos mil,Tradicional,JERICO,495.0,Lavado 
2024-07-04 00:00:00,05-070424,Doña Dolly,26.0,10.5,14,C,"Frambuesa, miel, acidez brillante citrica como mandarina, cuerpo cremoso medio y final frutal prolongado. 
",85,Si,LFQ,Dos mil,Tradicional,JERICO,495.0,Lavado 
2024-12-04 00:00:00,01-120424,Madre Laura,350.0,10.6,14,C,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84,Si,LFQ,Otros,,NAN,492.0,
22-4-24,01-220424,Madre Laura,266.0,10.6,14,C,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84,Si,LFQ,Otros,,NAN,492.0,
14-5-24 ,20-140524,Bourbon Sidra - Las Flores,35.0,10.5,14,C,"Maracuya, te de cedron, acidez jugosa, cuerpo aterciopelado y final floral dulce ",89,Si,LFQ,Bourbon Rojo,Honey ,QUIMBAYA,489.0,Honey 
14-5-24 ,08-140524,Gesha Villabernarda,35.0,10.6,14,C,"Jazmin, mandarina, acidez jugosa, cuerpo sedoso y final frutal ",86,Si,LFQ,Gesha,Honey ,JERICO,489.0,Honey 
